OrderID,EmployeeID,CustomerID,OrderDate,ShippedDate,PaidDate,Notes,StatusID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
1,10,7,"03/02/26 12:01:00","03/02/26 12:01:00","03/04/26 12:01:00","Internet Order",1,"Admin","03/02/26 12:01:00","Admin","03/04/26 12:01:00"
4,9,1,"03/02/26 12:04:00",,,,3,"Admin","03/02/26 12:04:00","Admin","03/02/26 12:04:00"
5,1,1,"03/02/26 12:05:00",,,,3,"Admin","03/02/26 12:05:00","Admin","03/02/26 12:05:00"
8,1,2,"03/04/26 12:08:00",,,,3,"Admin","03/04/26 12:08:00","Admin","03/04/26 12:08:00"
9,1,2,"03/04/26 12:09:00",,,,3,"Admin","03/04/26 12:09:00","Admin","03/04/26 12:09:00"
11,1,2,"03/04/26 12:11:00",,,"<div>Does adding a note show if by modified date</div>",3,"Admin","03/04/26 12:11:00","Admin","03/04/26 12:11:00"
12,10,7,"03/06/26 12:12:00","03/06/26 12:12:00",,"Internet Order",4,"Admin","03/06/26 12:12:00","Admin","03/06/26 12:12:00"
17,1,1,"03/06/26 12:17:00",,,,3,"Admin","03/06/26 12:17:00","Admin","03/06/26 12:17:00"
18,1,2,"03/06/26 12:18:00","03/06/26 12:18:00","03/08/26 12:18:00",,1,"Admin","03/06/26 12:18:00","Admin","03/08/26 12:18:00"
21,1,1,"03/08/26 12:21:00",,,,2,"Admin","03/08/26 12:21:00","Admin","03/08/26 12:21:00"
23,10,8,"03/08/26 12:23:00",,,"Internet Order",3,"Admin","03/08/26 12:23:00","Admin","03/08/26 12:23:00"
26,10,2,"03/08/26 12:26:00",,,"Internet Order",3,"Admin","03/08/26 12:26:00","Admin","03/08/26 12:26:00"
28,1,1,"03/10/26 12:28:00","03/10/26 12:28:00",,,4,"Admin","03/10/26 12:28:00","Admin","03/10/26 12:28:00"
29,10,7,"03/10/26 12:29:00",,,"Internet Order",3,"Admin","03/10/26 12:29:00","Admin","03/10/26 12:29:00"
30,10,8,"03/10/26 12:30:00",,,"Internet Order",3,"Admin","03/10/26 12:30:00","Admin","03/10/26 12:30:00"
33,1,2,"03/12/26 12:33:00",,,,2,"Admin","03/12/26 12:33:00","Admin","03/12/26 12:33:00"
42,10,7,"03/12/26 12:42:00",,,"Internet Order",3,"Admin","03/12/26 12:42:00","Admin","03/12/26 12:42:00"
43,10,8,"03/12/26 12:43:00",,,"Internet Order",3,"Admin","03/12/26 12:43:00","Admin","03/12/26 12:43:00"
46,9,6,"03/14/26 12:46:00",,,,3,"Admin","03/14/26 12:46:00","Admin","03/14/26 12:46:00"
48,7,8,"03/14/26 12:48:00",,,,3,"Admin","03/14/26 12:48:00","Admin","03/14/26 12:48:00"
50,8,2,"03/14/26 12:50:00",,,,3,"Admin","03/14/26 12:50:00","Admin","03/14/26 12:50:00"
51,9,6,"03/16/26 12:51:00",,,,3,"Admin","03/16/26 12:51:00","Admin","03/16/26 12:51:00"
53,7,8,"03/16/26 12:53:00",,,,3,"Admin","03/16/26 12:53:00","Admin","03/16/26 12:53:00"
55,8,2,"03/16/26 12:55:00",,,,3,"Admin","03/16/26 12:55:00","Admin","03/16/26 12:55:00"
56,9,6,"03/18/26 12:56:00",,,,3,"Admin","03/18/26 12:56:00","Admin","03/18/26 12:56:00"
58,7,8,"03/18/26 12:58:00",,,,3,"Admin","03/18/26 12:58:00","Admin","03/18/26 12:58:00"
60,8,2,"03/18/26 13:00:00",,,,3,"Admin","03/18/26 13:00:00","Admin","03/18/26 13:00:00"
61,9,6,"03/20/26 13:01:00",,,,3,"Admin","03/20/26 13:01:00","Admin","03/20/26 13:01:00"
63,7,8,"03/20/26 13:03:00",,,,3,"Admin","03/20/26 13:03:00","Admin","03/20/26 13:03:00"
65,8,2,"03/20/26 13:05:00",,,,3,"Admin","03/20/26 13:05:00","Admin","03/20/26 13:05:00"
66,6,5,"03/22/26 13:06:00",,,,3,"Admin","03/22/26 13:06:00","Admin","03/22/26 13:06:00"
67,2,5,"03/22/26 13:07:00",,,,3,"Admin","03/22/26 13:07:00","Admin","03/22/26 13:07:00"
68,9,7,"03/22/26 13:08:00","03/22/26 13:08:00",,,4,"Admin","03/22/26 13:08:00","Admin","03/22/26 13:08:00"
69,10,7,"03/24/26 13:09:00",,,"Internet Order",3,"Admin","03/24/26 13:09:00","Admin","03/24/26 13:09:00"
70,10,8,"03/24/26 13:10:00",,,"Internet Order",3,"Admin","03/24/26 13:10:00","Admin","03/24/26 13:10:00"
71,10,5,"03/24/26 13:11:00",,,"Internet Order",3,"Admin","03/24/26 13:11:00","Admin","03/24/26 13:11:00"
72,10,8,"03/26/26 13:12:00",,,"Internet Order",3,"Admin","03/26/26 13:12:00","Admin","03/26/26 13:12:00"
73,10,7,"03/26/26 13:13:00","03/26/26 13:13:00",,"Internet Order",4,"Admin","03/26/26 13:13:00","Admin","03/26/26 13:13:00"
